"case","t","y1","y2"
1046,6.5,1.12062660527907,1.24634201932022
1046,7,1.32995920457466,1.31491249845186
1046,7.5,1.56392066931049,1.38317179408304
1046,8,1.82418719111988,1.45040847960008
1046,8.5,2.11212225475726,1.51585350901268
1046,9,2.42864886133048,1.5786991321097
1046,9.5,2.77409572705833,1.63812534720991
1046,10,3.14804036906233,1.69333201516071
1047,0,-0.190031975274906,0.514496699674055
1047,0.5,-0.141982255872381,0.55553412088106
1047,1,-0.0895221458531351,0.599229212234906
1047,1.5,-0.0317561939115152,0.645639617189493
1047,2,0.0323208960614665,0.694798959002343
1047,2.5,0.103834988701907,0.746710801933852
1047,3,0.18403710658383,0.801342729512191
1047,3.5,0.274308940026994,0.858619390312272
1047,4,0.376165462553062,0.918414924625162
1047,4.5,0.491252052003381,0.980545913422484
1047,5,0.621335729050643,1.0447636864126
1047,5.5,0.768287992992322,1.11074773695916
1047,6,0.934057020285563,1.17810015999968
1047,6.5,1.12062660527907,1.24634201932022
1047,7,1.32995920457466,1.31491249845186
1047,7.5,1.56392066931049,1.38317179408304
1047,8,1.82418719111988,1.45040847960008
1047,8.5,2.11212225475726,1.51585350901268
1047,9,2.42864886133048,1.5786991321097
1047,9.5,2.77409572705833,1.63812534720991
1047,10,3.14804036906233,1.69333201516071
1048,0,-0.190031975274906,0.514496699674055
1048,0.5,-0.141982255872381,0.55553412088106
1048,1,-0.0895221458531351,0.599229212234906
1048,1.5,-0.0317561939115152,0.645639617189493
1048,2,0.0323208960614665,0.694798959002343
1048,2.5,0.103834988701907,0.746710801933852
1048,3,0.18403710658383,0.801342729512191
1048,3.5,0.274308940026994,0.858619390312272
1048,4,0.376165462553062,0.918414924625162
1048,4.5,0.491252052003381,0.980545913422484
1048,5,0.621335729050643,1.0447636864126
1048,5.5,0.768287992992322,1.11074773695916
1048,6,0.934057020285563,1.17810015999968
1048,6.5,1.12062660527907,1.24634201932022
1048,7,1.32995920457466,1.31491249845186
1048,7.5,1.56392066931049,1.38317179408304
1048,8,1.82418719111988,1.45040847960008
1048,8.5,2.11212225475726,1.51585350901268
1048,9,2.42864886133048,1.5786991321097
1048,9.5,2.77409572705833,1.63812534720991
1048,10,3.14804036906233,1.69333201516071
1049,0,-0.190031975274906,0.514496699674055
1049,0.5,-0.141982255872381,0.55553412088106
1049,1,-0.0895221458531351,0.599229212234906
1049,1.5,-0.0317561939115152,0.645639617189493
1049,2,0.0323208960614665,0.694798959002343
1049,2.5,0.103834988701907,0.746710801933852
1049,3,0.18403710658383,0.801342729512191
1049,3.5,0.274308940026994,0.858619390312272
1049,4,0.376165462553062,0.918414924625162
1049,4.5,0.491252052003381,0.980545913422484
1049,5,0.621335729050643,1.0447636864126
1049,5.5,0.768287992992322,1.11074773695916
1049,6,0.934057020285563,1.17810015999968
1049,6.5,1.12062660527907,1.24634201932022
1049,7,1.32995920457466,1.31491249845186
1049,7.5,1.56392066931049,1.38317179408304
1049,8,1.82418719111988,1.45040847960008
1049,8.5,2.11212225475726,1.51585350901268
1049,9,2.42864886133048,1.5786991321097
1049,9.5,2.77409572705833,1.63812534720991
1049,10,3.14804036906233,1.69333201516071
1050,0,-0.190031975274906,0.514496699674055
1050,0.5,-0.141982255872381,0.55553412088106
1050,1,-0.0895221458531351,0.599229212234906
1050,1.5,-0.0317561939115152,0.645639617189493
1050,2,0.0323208960614665,0.694798959002343
1050,2.5,0.103834988701907,0.746710801933852
1050,3,0.18403710658383,0.801342729512191
1050,3.5,0.274308940026994,0.858619390312272
1050,4,0.376165462553062,0.918414924625162
1050,4.5,0.491252052003381,0.980545913422484
1050,5,0.621335729050643,1.0447636864126
1050,5.5,0.768287992992322,1.11074773695916
1050,6,0.934057020285563,1.17810015999968
1050,6.5,1.12062660527907,1.24634201932022
1050,7,1.32995920457466,1.31491249845186
1050,7.5,1.56392066931049,1.38317179408304
1050,8,1.82418719111988,1.45040847960008
1050,8.5,2.11212225475726,1.51585350901268
1050,9,2.42864886133048,1.5786991321097
1050,9.5,2.77409572705833,1.63812534720991
1050,10,3.14804036906233,1.69333201516071
1051,0,-0.190031975274906,0.514496699674055
1051,0.5,-0.141982255872381,0.55553412088106
1051,1,-0.0895221458531351,0.599229212234906
1051,1.5,-0.0317561939115152,0.645639617189493
1051,2,0.0323208960614665,0.694798959002343
1051,2.5,0.103834988701907,0.746710801933852
1051,3,0.18403710658383,0.801342729512191
1051,3.5,0.274308940026994,0.858619390312272
1051,4,0.376165462553062,0.918414924625162
1051,4.5,0.491252052003381,0.980545913422484
1051,5,0.621335729050643,1.0447636864126
1051,5.5,0.768287992992322,1.11074773695916
1051,6,0.934057020285563,1.17810015999968
1051,6.5,1.12062660527907,1.24634201932022
1051,7,1.32995920457466,1.31491249845186
1051,7.5,1.56392066931049,1.38317179408304
1051,8,1.82418719111988,1.45040847960008
1051,8.5,2.11212225475726,1.51585350901268
1051,9,2.42864886133048,1.5786991321097
1051,9.5,2.77409572705833,1.63812534720991
1051,10,3.14804036906233,1.69333201516071
1052,0,-0.190031975274906,0.514496699674055
1052,0.5,-0.142425128554746,0.652651824848291
1052,1,-0.0905538578645927,0.82496198583086
1052,1.5,-0.0320560207267983,1.0355344959028
1052,2,0.0359570129105397,1.2859825813777
1052,2.5,0.116755828043027,1.57372727916374
1052,3,0.213763965444725,1.89042873734248
1052,3.5,0.330273078152581,2.22131154637828
1052,4,0.469155516086139,2.54599455887471
1052,4.5,0.632634834751161,2.84108712302474
1052,5,0.822146289099151,3.08398782202961
1052,5.5,1.03828313893016,3.2567744151017
1052,6,1.28080259758337,3.34904355900907
1052,6.5,1.54867967216752,3.35910995630734
1052,7,1.84021837578387,3.29353572989416
1052,7.5,2.1532425683421,3.16539909418123
1052,8,2.48536952279636,2.99183934472405
1052,8.5,2.83432972669183,2.79141931533259
1052,9,3.19825834944091,2.58178045038516
1052,9.5,3.57587200207883,2.37794404069507
1052,10,3.96646720567194,2.19144424946949
1053,0,-0.190031975274906,0.514496699674055
1053,0.5,-0.142425128554746,0.652651824848291
1053,1,-0.0905538578645927,0.82496198583086
1053,1.5,-0.0320560207267983,1.0355344959028
1053,2,0.0359570129105397,1.2859825813777
1053,2.5,0.116755828043027,1.57372727916374
1053,3,0.213763965444725,1.89042873734248
1053,3.5,0.330273078152581,2.22131154637828
1053,4,0.469155516086139,2.54599455887471
1053,4.5,0.632634834751161,2.84108712302474
1053,5,0.822146289099151,3.08398782202961
1053,5.5,1.03828313893016,3.2567744151017
1053,6,1.28080259758337,3.34904355900907
1053,6.5,1.54867967216752,3.35910995630734
1053,7,1.84021837578387,3.29353572989416
1053,7.5,2.1532425683421,3.16539909418123
