i1	i2	i3	sequence	generation	x1	x2	x3	compute	measure	probed	s1	s2	s3	s	bioproduct actual cost	consumer inertia	retrofit delay
33554432	201326592	671088640	2035	-1.0	0.03125	0.1875	0.625	False	False	False					5.9375	1.01875	22.25
33554432	201326592	704643072	2247	-1.0	0.03125	0.1875	0.65625	False	False	False					5.9375	1.01875	23.3125
33554432	201326592	738197504	2248	-1.0	0.03125	0.1875	0.6875	False	False	False					5.9375	1.01875	24.375
33554432	201326592	771751936	2392	-1.0	0.03125	0.1875	0.71875	False	False	False					5.9375	1.01875	25.4375
33554432	201326592	805306368	2393	-1.0	0.03125	0.1875	0.75	False	False	False					5.9375	1.01875	26.5
33554432	234881024	33554432	249	11.0	0.03125	0.21875	0.03125	False	False	False	45438.42750749874	42357.254920361076	8291.395078900112	0.013719331976901793	5.9375	1.171875	2.0625
33554432	234881024	100663296	250	11.0	0.03125	0.21875	0.09375	False	False	False	47906.90394464837	44388.16436730453	11158.585359471354	0.014464644910823785	5.9375	1.171875	4.1875
33554432	234881024	570425344	1127	50.0	0.03125	0.21875	0.53125	False	False	False	31883.585165084653	37380.196063943884	19302.970700048794	0.011371993058783551	5.9375	1.171875	19.0625
33554432	234881024	603979776	2036	-1.0	0.03125	0.21875	0.5625	False	False	False					5.9375	1.171875	20.125
33554432	234881024	637534208	1128	50.0	0.03125	0.21875	0.59375	False	False	True	23650.85308907021	34436.1578687734	19757.067138743467	0.010476342809571347	5.9375	1.171875	21.1875
33554432	234881024	671088640	2037	-1.0	0.03125	0.21875	0.625	False	False	False					5.9375	1.171875	22.25
33554432	234881024	704643072	1488	67.0	0.03125	0.21875	0.65625	False	False	True	15555.48317892815	31122.769198734502	21148.322093469083	0.009468326883376687	5.9375	1.171875	23.3125
33554432	234881024	738197504	2249	-1.0	0.03125	0.21875	0.6875	False	False	False					5.9375	1.171875	24.375
33554432	234881024	771751936	1489	67.0	0.03125	0.21875	0.71875	False	False	False	9073.128106114309	27670.574035748825	22218.409007874925	0.008418082541054816	5.9375	1.171875	25.4375
33554432	234881024	973078528	2550	113.0	0.03125	0.21875	0.90625	False	False	False	1415.1232651116431	22822.516568182225	22595.02447328532	0.007060733325901886	5.9375	1.171875	31.8125
33554432	234881024	1040187392	2551	113.0	0.03125	0.21875	0.96875	False	False	False	1149.8825521772503	22691.35735705808	22664.28159559191	0.0070823755273566515	5.9375	1.171875	33.9375
33554432	268435456	603979776	2038	-1.0	0.03125	0.25	0.5625	False	False	False					5.9375	1.325	20.125
33554432	268435456	637534208	2039	-1.0	0.03125	0.25	0.59375	False	False	False					5.9375	1.325	21.1875
33554432	268435456	671088640	2040	-1.0	0.03125	0.25	0.625	False	False	False					5.9375	1.325	22.25
33554432	268435456	704643072	2250	-1.0	0.03125	0.25	0.65625	False	False	False					5.9375	1.325	23.3125
33554432	268435456	738197504	2251	-1.0	0.03125	0.25	0.6875	False	False	False					5.9375	1.325	24.375
33554432	973078528	167772160	2998	133.0	0.03125	0.90625	0.15625	False	False	False	41008.912201240055	40261.42547242232	5792.914958727015	0.012381917935157022	5.9375	4.540625	6.3125
33554432	973078528	234881024	2999	133.0	0.03125	0.90625	0.21875	False	False	False	36952.096333103174	37582.6928722773	7151.580632498422	0.011433597666069564	5.9375	4.540625	8.4375
33554432	1040187392	167772160	3000	133.0	0.03125	0.96875	0.15625	False	False	False	39922.86447163777	39278.42583767664	5451.520496045568	0.012054004973320582	5.9375	4.846875	6.3125
