i1	i2	i3	sequence	generation	x1	x2	x3	compute	measure	probed	s1	s2	s3	s	bioproduct actual cost	consumer inertia	retrofit delay
0	671088640	671088640	1904	-1.0	0.0	0.625	0.625	False	False	False					5.0	3.1625	22.25
0	671088640	805306368	1905	-1.0	0.0	0.625	0.75	False	False	False					5.0	3.1625	26.5
0	805306368	0	919	-1.0	0.0	0.75	0.0	False	False	False					5.0	3.775	1.0
0	805306368	33554432	11426	-1.0	0.0	0.75	0.03125	False	False	False					5.0	3.775	2.0625
0	805306368	67108864	3378	-1.0	0.0	0.75	0.0625	False	False	False					5.0	3.775	3.125
0	805306368	100663296	18954	-1.0	0.0	0.75	0.09375	False	False	False					5.0	3.775	4.1875
0	805306368	134217728	2752	-1.0	0.0	0.75	0.125	False	False	False					5.0	3.775	5.25
0	805306368	201326592	5654	-1.0	0.0	0.75	0.1875	False	False	False					5.0	3.775	7.375
0	805306368	234881024	6109	-1.0	0.0	0.75	0.21875	False	False	False					5.0	3.775	8.4375
0	805306368	268435456	920	-1.0	0.0	0.75	0.25	False	False	False					5.0	3.775	9.5
0	805306368	335544320	8171	-1.0	0.0	0.75	0.3125	False	False	False					5.0	3.775	11.625
0	805306368	402653184	4670	-1.0	0.0	0.75	0.375	False	False	False					5.0	3.775	13.75
0	805306368	469762048	14744	-1.0	0.0	0.75	0.4375	False	False	False					5.0	3.775	15.875
0	805306368	536870912	340	-1.0	0.0	0.75	0.5	False	False	False					5.0	3.775	18.0
0	805306368	671088640	1184	-1.0	0.0	0.75	0.625	False	False	False					5.0	3.775	22.25
0	805306368	805306368	341	-1.0	0.0	0.75	0.75	False	False	False					5.0	3.775	26.5
0	805306368	939524096	2937	-1.0	0.0	0.75	0.875	False	False	False					5.0	3.775	30.75
0	805306368	1073741824	342	-1.0	0.0	0.75	1.0	False	False	False					5.0	3.775	35.0
0	838860800	0	11427	-1.0	0.0	0.78125	0.0	False	False	False					5.0	3.928125	1.0
0	838860800	33554432	11428	-1.0	0.0	0.78125	0.03125	False	False	False					5.0	3.928125	2.0625
0	838860800	67108864	11429	-1.0	0.0	0.78125	0.0625	False	False	False					5.0	3.928125	3.125
0	838860800	100663296	18955	-1.0	0.0	0.78125	0.09375	False	False	False					5.0	3.928125	4.1875
0	838860800	134217728	18956	-1.0	0.0	0.78125	0.125	False	False	False					5.0	3.928125	5.25
0	838860800	201326592	6110	-1.0	0.0	0.78125	0.1875	False	False	False					5.0	3.928125	7.375
0	838860800	234881024	6111	-1.0	0.0	0.78125	0.21875	False	False	False					5.0	3.928125	8.4375
0	838860800	268435456	6112	-1.0	0.0	0.78125	0.25	False	False	False					5.0	3.928125	9.5
0	872415232	0	3379	-1.0	0.0	0.8125	0.0	False	False	False					5.0	4.08125	1.0
0	872415232	33554432	11430	-1.0	0.0	0.8125	0.03125	False	False	False					5.0	4.08125	2.0625
0	872415232	67108864	3380	-1.0	0.0	0.8125	0.0625	False	False	False					5.0	4.08125	3.125
0	872415232	75497472	19425	-1.0	0.0	0.8125	0.0703125	False	False	False					5.0	4.08125	3.390625
0	872415232	83886080	5985	-1.0	0.0	0.8125	0.078125	False	False	False					5.0	4.08125	3.65625
0	872415232	100663296	3530	-1.0	0.0	0.8125	0.09375	False	False	False					5.0	4.08125	4.1875
0	872415232	134217728	3381	-1.0	0.0	0.8125	0.125	False	False	False					5.0	4.08125	5.25
0	872415232	201326592	5655	-1.0	0.0	0.8125	0.1875	False	False	False					5.0	4.08125	7.375
0	872415232	234881024	6113	-1.0	0.0	0.8125	0.21875	False	False	False					5.0	4.08125	8.4375
0	872415232	268435456	5656	-1.0	0.0	0.8125	0.25	False	False	False					5.0	4.08125	9.5
0	872415232	335544320	8172	-1.0	0.0	0.8125	0.3125	False	False	False					5.0	4.08125	11.625
0	872415232	402653184	8173	-1.0	0.0	0.8125	0.375	False	False	False					5.0	4.08125	13.75
0	872415232	436207616	14857	-1.0	0.0	0.8125	0.40625	False	False	False					5.0	4.08125	14.8125
