sequence	Year	Adopters	NonAdopters	Potential Adopters
3115	2020.0	496.875	97944.2	2058.95
3115	2022.5	746.875	95686.6	4316.49
3115	2025.0	1355.14	92421.1	7223.78
3115	2027.5	4180.87	84720.3	12348.9
3115	2030.0	11313.5	65916.4	24270.1
3115	2032.5	24666.9	36317.4	40765.7
3115	2035.0	46435.5	11080.4	44484.0
3115	2037.5	85994.6	1226.38	15029.0
3115	2040.0	101797.0	38.9515	664.201
3115	2042.5	102047.0	1.1445	702.008
3115	2045.0	102297.0	0.0336265	703.1189999999999
3115	2047.5	103250.0	0.000964543	0.29802
3115	2050.0	103500.0	2.76451e-05	0.29895700000000003
3114	2015.0	0.0	100000.0	0.0
3114	2017.5	246.875	99380.2	622.943
3114	2020.0	496.875	97888.5	2114.59
3114	2022.5	746.875	95571.4	4431.75
3114	2025.0	1170.79	92393.5	7435.72
3114	2027.5	3399.18	85842.5	12008.3
3114	2030.0	9603.69	69240.7	22655.6
3114	2032.5	21826.9	40661.2	39261.8
3114	2035.0	41825.3	13618.0	46556.7
3114	2037.5	74947.5	1836.23	25466.3
3114	2040.0	102050.0	63.4701	386.07599999999996
3114	2042.5	102300.0	1.6743700000000001	447.87199999999996
3114	2045.0	102550.0	0.0441688	449.50199999999995
3114	2047.5	103249.0	0.0011587	0.962585
3114	2050.0	103499.0	3.0072e-05	0.9637129999999999
3113	2015.0	0.0	100000.0	0.0
3113	2017.5	246.875	99380.2	622.943
3113	2020.0	496.875	97888.5	2114.59
3113	2022.5	746.875	95571.4	4431.75
3113	2025.0	1250.61	92325.8	7423.58
3113	2027.5	3780.89	85143.4	12325.7
3113	2030.0	10497.8	67195.8	23806.3
3113	2032.5	23415.9	37785.5	40548.6
3113	2035.0	44416.3	11782.7	45801.0
3113	2037.5	80805.8	1381.39	20062.8
3113	2040.0	102082.0	42.4853	375.67800000000005
3113	2042.5	102332.0	1.1195	417.04400000000004
3113	2045.0	102582.0	0.0294981	418.134
3113	2047.5	103247.0	0.000770811	2.84979
3113	2050.0	103497.0	2.0006500000000002e-05	2.85054
3112	2015.0	0.0	100000.0	0.0
3112	2017.5	246.875	99380.2	622.943
3112	2020.0	496.875	97888.5	2114.59
3112	2022.5	746.875	95571.4	4431.75
3112	2025.0	1364.91	92214.9	7420.23
3112	2027.5	4260.57	84220.6	12768.8
3112	2030.0	11578.4	64714.0	25207.6
3112	2032.5	25280.8	34557.3	41912.0
3112	2035.0	47678.9	9887.21	44433.9
3112	2037.5	88680.3	963.086	12606.7
3112	2040.0	101790.0	27.0699	683.319
3112	2042.5	102040.0	0.7209220000000001	709.668
3112	2045.0	102988.0	0.0191862	11.6216
3112	2047.5	103246.0	0.000498055	4.14051
3112	2050.0	103496.0	1.29277e-05	4.14099
3111	2015.0	0.0	100000.0	0.0
3111	2017.5	246.875	99412.4	590.77
3111	2020.0	496.875	97997.0	2006.16
3111	2022.5	746.875	95796.0	4207.07
3111	2025.0	1237.48	92716.9	7045.66
3111	2027.5	3650.23	86029.9	11569.9
3111	2030.0	10036.6	69362.5	22100.9
3111	2032.5	22314.6	41209.0	38226.4
3111	2035.0	42217.9	14405.8	45376.3
3111	2037.5	76253.5	2106.75	23889.7
3111	2040.0	102149.0	84.5017	266.684
3111	2042.5	102399.0	2.693	348.49199999999996
3111	2045.0	102649.0	0.08582089999999999	351.099
3111	2047.5	103250.0	0.00272059	0.28170700000000004
3111	2050.0	103500.0	8.566209999999999e-05	0.284342
3110	2015.0	0.0	100000.0	0.0
3110	2017.5	246.875	99396.7	606.43
3110	2020.0	496.875	97944.2	2058.95
3110	2022.5	746.875	95686.6	4316.49
3110	2025.0	1166.17	92590.7	7243.12
3110	2027.5	3342.2	86265.6	11642.2
3110	2030.0	9390.34	70278.2	21831.4
3110	2032.5	21302.9	42370.7	38076.3
3110	2035.0	40779.7	15000.3	46220.0
3110	2037.5	72857.2	2248.56	27144.2
3110	2040.0	102011.0	89.5006	399.709
3110	2042.5	102261.0	2.60995	486.6
3110	2045.0	102511.0	0.07610610000000001	489.13300000000004
3110	2047.5	103248.0	0.00220641	1.9730400000000001
3110	2050.0	103498.0	6.32424e-05	1.97518
3109	2015.0	0.0	100000.0	0.0
3109	2017.5	246.875	99396.7	606.43
3109	2020.0	496.875	97944.2	2058.95
3109	2022.5	746.875	95686.6	4316.49
3109	2025.0	1243.87	92526.4	7229.69
3109	2027.5	3713.83	85599.6	11936.5
3109	2030.0	10261.1	68309.8	22929.1
3109	2032.5	22850.9	39525.1	39374.0
3109	2035.0	43288.0	13079.4	45632.7
3109	2037.5	78464.9	1720.44	22064.6
3109	2040.0	102077.0	60.5347	362.903
3109	2042.5	102327.0	1.7611599999999998	421.676
